_id,Age,birth_date,district,email,gender,governorate,name,number_of_exchanges,plastic_quantity,points,points_gained,profession
62854de0c86e7002655183c9,41,9/30/1980,Basyon,Wilhelmine15@hotmail.com,MALE,Gharbia,ضياء العواني المبجل - Dhiaa Alawanei Alambjl ,4,16,462,1957,Product Marketing Producer - إداري
62854de0c86e7002655183ca,21,9/24/2000,Snoras,Jarrell67@hotmail.com,MALE,Faiyum,كرم بن عاشور المبجل - Karm Bn AIshoar Alambjl ,2,10,381,1350,Human Assurance Assistant - مدير
62854de0c86e7002655183cb,23,4/30/1999,Eyetay El Barood,Billie.Pollich68@gmail.com,FEMALE,Beheira,ريم النقاش - Riam AlnqIsh ,1,2,176,424,International Accounts Planner - مهندس
62854de0c86e7002655183cc,44,4/29/1978,El Dawahy,Catharine37@yahoo.com,MALE,Port Said,معين الشيباني - Muain Alshibanei ,1,8,53,544,Internal Configuration Associate - مبرمج
62854de0c86e7002655183cd,39,10/7/1982,Faisal,Cecil81@gmail.com,FEMALE,Giza,عنود الصفار - Anod Alsafar ,1,3,269,474,Customer Directives Designer - تنفيذي
62854de0c86e7002655183ce,24,9/17/1997,El Balyana,Delphine.Lesch38@yahoo.com,MALE,Sohag,آنسة فارس بن عبد الكريم - Anisah Fars Bn Abad Alkariam ,1,8,382,964,International Data Coordinator - محلل
62854de0c86e7002655183cf,38,4/27/1984,Third Ismaillia,Karolann.Kunze@yahoo.com,MALE,Ismailia,سيدة مبروك السقا - Saidah Mbrok Alsqa ,1,12,1460,2100,District Directives Architect - منسق
62854de0c86e7002655183d0,51,10/6/1970,Baltim,Jana.Halvorson40@gmail.com,MALE,Kafr El Sheikh,حلمي الحمامي - Hlamai Alhamamai ,3,11,523,2115,Human Assurance Technician - محلل
62854de0c86e7002655183d1,36,8/26/1985,Marg And Ezbet El Nakhl,Arden33@yahoo.com,MALE,Cairo,سيد حسان سعيد - Said Husan Saaid ,3,9,61,893,Lead Markets Administrator - مهندس
62854de0c86e7002655183d2,30,1/23/1992,Sueiz,Frederic.Pagac@yahoo.com,MALE,Suez,خليل جابالله - Khalail Jaballah ,1,2,149,424,Global Paradigm Consultant - مخطط
62854de0c86e7002655183d3,45,2/27/1977,Basyon,Eliza.Schmidt14@hotmail.com,FEMALE,Gharbia,فاطمه الشتيوي - Fatmuah Alshtioi ,3,19,184,2033,Customer Functionality Liaison - مستشار
62854de0c86e7002655183d4,46,9/15/1975,Birket El Sab,Magnolia_Goldner@hotmail.com,MALE,Monufia,حامد النابلي حفظه الله - Hamid Alnablai Hfzah Allah ,1,3,1,273,Senior Configuration Assistant - محلل
62854de0c86e7002655183d5,24,12/26/1997,Farshut,Kelsi_Bartell@hotmail.com,MALE,Qena,عدلان المولدي - Adlan Alamoldi ,1,10,242,802,Direct Identity Engineer - منسق
62854de0c86e7002655183d6,32,7/22/1989,Eyetay El Barood,Josiah43@yahoo.com,FEMALE,Beheira,عوضية المدقي الموقر - Aodhiah Alamdqai Alamoqur ,2,4,203,848,International Operations Liaison - تقني
62854de0c86e7002655183d7,50,8/15/1971,Kafr El Zayat,Matilde_Harvey@hotmail.com,FEMALE,Gharbia,فاطمه نيفر - Fatmuah Nifar ,3,32,4731,6520,Future Configuration Director - متخصص
62854de0c86e7002655183d8,34,1/23/1988,Fuwwah,Deangelo.Kohler22@hotmail.com,MALE,Kafr El Sheikh,عادل بن عبد الكريم - Aadl Bn Abad Alkariam ,3,14,135,1700,Product Data Manager - رئيس مؤسسة
62854de0c86e7002655183d9,15,10/10/2006,El Mokattam,Emery.Abbott@gmail.com,MALE,Cairo,فرحات شقرون - Farahat Shquron ,1,9,545,1071,National Program Executive - متدرب
62854de0c86e7002655183da,32,12/1/1989,Nasr El Noba,Yvonne.Kuvalis73@gmail.com,MALE,Aswan,رامي الرصاع - Rami Alrsaa ,2,9,915,1622,Customer Tactics Planner - مخطط
62854de0c86e7002655183db,15,8/19/2006,Fuwwah,Kara.Oberbrunner35@gmail.com,MALE,Kafr El Sheikh,خيري الطريقي - Khairi Altriqai ,1,19,1503,1918,International Assurance Administrator - مستشار
62854de0c86e7002655183dc,51,1/2/1971,Sharq,Nikki71@hotmail.com,MALE,Port Said,بروفيسور باسم النخلي - Brofisaoar Basam Alnkhalai ,1,15,1920,2335,Product Assurance Administrator - تنفيذي
62854de0c86e7002655183dd,20,7/21/2001,Menia El Naser,Vella_Rosenbaum@yahoo.com,MALE,Dakahlia,فيصل بن عبد السلام - Fisl Bn Abad Alsalam ,1,6,198,758,Future Paradigm Producer - متخصص
62854de0c86e7002655183de,47,1/24/1975,Kom Embo,Angelita25@gmail.com,FEMALE,Aswan,بلسم بودوارة - Blsam Bodwarah ,2,8,60,1362,Global Branding Technician - رئيس مؤسسة
62854de0c86e7002655183df,46,2/24/1976,Mnouf,Coby.Gislason@hotmail.com,MALE,Monufia,ناجي الوحيشي - Naji Alohaishi ,1,11,494,1146,Investor Directives Coordinator - منسق
