_id,birth_date,company_location,company_name,company_status,gender,name,number_of_offers,plastic_quantity,rating
762630815067802280312,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,FEMALE,خلود العلايمي - Khalod Alalaaiamai ,1,2,5
770648210988500697161,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,MALE,بتول السقا - Btol Alsqa ,2,18,5
334254520261964655360,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,FEMALE,نوف بن عمر - Nof Bn Omar ,2,5,5
383974573902489762407,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,FEMALE,دكتور عنود النقاش - Dktoar Anod AlnqIsh ,2,12,5
946428165264951945716,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,FEMALE,سيد عنود الدنوني - Said Anod Aldnoni ,4,26,5
189336240235506931081,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,FEMALE,سيد عوضية النجار - Said Aodhiah Alnajar ,1,8,5
989397675209970658051,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,MALE,عنود بن عبدالله - Anod Bn Abadallah ,2,23,5
710122288166549643300,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,MALE,خلود الدرقاش - Khalod AldrqIsh ,1,11,5
510117237483374773800,1987-01-03,Cairo,Schmitt - Jacobi,SUSPENDED,MALE,عوضية بن عمر - Aodhiah Bn Omar ,2,8,5
169369528673229741748,1987-09-16,Aswan,"Klocko, Heaney and Swift",APPROVED,MALE,بتول يافع - Btol Yafa ,25,86,5
738553789239563852616,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,MALE,سيد خلود سعيد - Said Khalod Saaid ,4,26,5
311304618960054671565,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,FEMALE,براءة المولدي - Baraaah Alamoldi ,10,60,5
769932993147722960876,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,FEMALE,بتول السقاط - Btol Alsqat ,9,53,5
766592616760759573786,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,MALE,براءة شنيق - Baraaah Shniq ,5,30,5
453265128734923577921,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,FEMALE,بلسم العواني - Blsam Alawanei ,6,38,5
295647944677137644912,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,MALE,عنود جابالله - Anod Jaballah ,4,28,5
764080454349253334415,1975-03-17,Port Said,"Lehner, Lehner and Walsh",SUSPENDED,FEMALE,عنود شقرون - Anod Shquron ,5,40,5
060230293160151818704,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,FEMALE,فاطمه الرقيق الموقر - Fatmuah Alruqaiq Alamoqur ,1,8,5
516368237799091468973,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,MALE,خلود العواني - Khalod Alawanei ,1,4,5
099285182705672287848,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,MALE,اروي المنيف - Aroi Alamanif ,1,2,5
202395636898121173808,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,FEMALE,اروي بن حمودة - Aroi Bn Hamodah ,2,19,5
169759657474225103946,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,FEMALE,بروفيسور براءة العواني - Brofisaoar Baraaah Alawanei ,4,19,5
582318671399980359359,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,MALE,فاطمه الوحيشي - Fatmuah Alohaishi ,4,28,5
189646434628277194490,1985-04-04,Gharbia,Bailey - McLaughlin,APPROVED,FEMALE,فاطمه البشيري - Fatmuah Albshiri ,4,19,5
213520298942619689819,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,نوف عنون - Nof Anon ,2,11,5
778380041226616584118,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,اروي القلشاني - Aroi Aliqlshanei ,2,18,5
215458622045230231351,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,خلود بن عاشور المحترم - Khalod Bn AIshoar Alamuhtrm ,3,23,5
506864276818031463425,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,FEMALE,عنود القلشاني - Anod Aliqlshanei ,2,12,5
018833968465063305065,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,عوضية شنيق - Aodhiah Shniq ,1,8,5
160866639216231257132,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,عنود شنيق - Anod Shniq ,3,22,5
350820474762795643076,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,MALE,ريم جابالله - Riam Jaballah ,3,23,5
474638715480798920984,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,FEMALE,عنود الغربي - Anod Alghrabi ,5,36,5
189745048472209528691,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,FEMALE,براءة يافع - Baraaah Yafa ,3,19,5
585978970103874752354,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,FEMALE,براءة الصفار - Baraaah Alsafar ,3,21,5
637735754769103896013,1995-02-19,Alexandria,Fisher and Sons,SUSPENDED,FEMALE,نوف الصفار - Nof Alsafar ,3,22,5
511545968855200708566,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,MALE,فاطمه السقاط - Fatmuah Alsqat ,2,16,5
686825371836597842271,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,FEMALE,براءة شقرون - Baraaah Shquron ,3,22,5
443116280047851903676,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,MALE,بروفيسور خلود السقا - Brofisaoar Khalod Alsqa ,1,9,5
277776046595450630808,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,MALE,بلسم الرقيق المبجل - Blsam Alruqaiq Alambjl ,2,16,5
364544631096299103983,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,MALE,عنود العطار - Anod Alaatar ,3,10,5
569342473283432773627,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,FEMALE,نوف العواني - Nof Alawanei ,2,13,5
886602231765395930840,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,FEMALE,سيد نوف نيفر - Said Nof Nifar ,3,28,5
437006241335578263165,1996-09-18,Beni Suef,Goodwin and Sons,APPROVED,MALE,عنود بن عثمان - Anod Bn Athman ,1,8,5
